GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaEdDSASignature,0,55,0,2,0,18,0,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaMayoKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaNTRUPlusKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreement.JcaBasicEngine,14,86,0,0,4,19,0,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaCipher.JcaSymCipher,0,6,0,0,0,2,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAEADCipher.JcaSymAEADCipher,0,6,0,0,0,2,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAEADCipher.JcaStreamAEADCipher,0,6,0,0,0,2,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaEncryptor,9,6,1,1,3,2,1,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaSnovaSignature,0,10,0,0,0,3,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaDHKeyPairGenerator,7,72,0,0,2,16,0,4,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaXMSSKeyPairGenerator,26,113,1,1,6,25,1,4,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignature.JcaSLHDSASignature,2,51,1,1,0,17,1,4,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyGenerator,4,48,0,0,2,9,1,4,1,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaSNTRUPrimeKeyPairGenerator,57,0,0,0,14,0,2,0,2,0
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreement.JcaSM2Engine,22,142,4,4,4,29,4,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPair.JcaDHPrivateKey,21,48,6,6,4,10,7,3,1,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaEdKeyPairGenerator,14,83,1,6,2,21,1,5,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaAgreementFactory,20,271,5,39,3,51,5,34,0,9
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaNewHopeKeyPairGenerator,0,42,0,0,0,9,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaElGamalKeyPairGenerator,7,59,0,0,2,14,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaCipherFactory,44,432,7,89,10,115,7,71,0,17
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaProvider,0,12,0,0,0,3,0,1,0,1
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaMac,18,90,0,4,6,25,1,11,1,9
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaSignatureFactory,8,257,2,49,2,53,2,43,0,8
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPair.JcaStateAwareKeyPair,14,9,0,0,2,3,2,2,2,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaRSAKeyPairGenerator,0,46,0,0,0,10,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaDigestFactory,7,24,0,0,2,7,0,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairFactory,14,227,2,29,2,39,2,28,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPairGenerator.JcaNTRUKeyPairGenerator,7,49,0,0,2,12,0,2,0,2
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKeyPair.JcaDHPublicKey,19,50,5,7,3,11,6,4,1,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaEncryptor.JcaHybridEncryptor,21,104,0,5,6,27,0,12,0,9
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.jca,JcaKey,30,46,5,5,6,12,6,5,1,5
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.api.mac,GordianMac,6,0,0,0,2,0,1,0,1,0
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.spec.lock,GordianCorePasswordLockSpec,59,64,14,4,10,18,12,9,3,9
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.spec.lock,GordianCorePasswordLockSpecBuilder,8,25,0,0,2,7,2,5,2,5
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.spec.random,GordianCoreRandomSpecBuilder,6,148,0,6,2,39,2,12,2,9
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.spec.random,GordianCoreRandomSpec,78,133,20,17,14,30,18,14,4,9
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.spec.random,GordianCoreRandomType,42,59,11,3,11,11,10,7,4,6
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianCoreZipFileEntry,37,253,1,14,9,70,7,21,6,14
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianCoreZipLock,122,248,20,10,28,70,20,20,7,17
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianZipFileProperties,43,321,11,49,8,91,10,31,0,11
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianCoreZipFactory,57,118,1,5,12,24,5,12,4,10
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianCoreZipReadFile,49,249,6,20,14,70,6,15,0,8
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianCoreZipWriteFile,47,320,6,18,13,81,8,13,2,7
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianCoreZipFileContents,32,203,11,11,12,55,8,14,0,11
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianZipFileProperties.Property,12,63,2,8,2,22,2,9,0,6
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianCoreZipWriteFile.GordianWrapOutputStream,10,24,0,0,4,9,2,4,2,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.zip,GordianZipLockASN1,83,175,16,9,15,51,12,15,2,11
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.api.key,GordianKeyLengths,4,53,2,6,2,15,2,7,0,5
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementBuilder,0,862,3,41,0,222,3,53,0,34
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementAlgId,13,710,4,55,3,144,4,45,0,12
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementFactory,88,372,15,36,19,90,15,42,4,26
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementState,0,82,0,0,0,29,0,18,0,18
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementMessageASN1,278,559,50,57,45,135,33,66,3,37
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementEngine,20,170,3,8,4,45,4,28,1,24
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementCalculator.GordianDerivationId,5,83,1,7,1,20,1,10,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreement,111,457,25,53,20,128,22,48,5,26
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementParams,145,453,33,55,26,118,33,33,2,20
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementComposite,11,499,2,58,2,114,2,35,0,7
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementParticipant,0,82,0,2,0,28,0,19,0,18
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementCache,10,55,2,2,2,14,2,5,0,5
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementMessageASN1.GordianAgreementMessageType,6,57,1,3,1,11,1,5,0,4
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementDerivation,12,266,3,13,3,56,3,21,0,13
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementCalculator,20,344,5,15,6,79,5,15,0,10
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.agree,GordianCoreAgreementDerivation.GordianCoreNullKeyDerivation,0,27,0,0,0,7,0,3,0,3
GordianKnot Security Framework,io.github.tonywasher.joceanus.gordianknot.impl.core.sign,GordianCoreSignParamsBuilder,6,10,0,0,1,2,1,2,1,2
